Timestamp,Current,Total voltage,SOC,Temperature,SOH,Equivalent cycle,Application status,Grid status,Grid power,Grid energy consumption,Grid cumulative energy consumption
1556816215000,10,65.38465115,0.907860822,30.16708108,0.995671963,0.51086463,1,1,653.8465115,181.624031,8703.486782
1556817215000,0,65.38610482,0.907860822,29.88321644,0.995661034,0.51086463,1,1,0,0,8703.486782
1556818215000,0,65.38576874,0.907860822,29.63749354,0.995650272,0.51086463,1,1,0,0,8703.486782
1556819215000,0,65.38576517,0.907860822,29.39912552,0.995639671,0.51086463,1,1,0,0,8703.486782
1556820215000,0,65.38576513,0.907860822,29.15399814,0.995629232,0.51086463,1,1,0,0,8703.486782
1556821215000,0,65.38576513,0.907860822,28.89604042,0.995618957,0.51086463,1,1,0,0,8703.486782
1556822215000,0,65.38576513,0.907860822,28.62308618,0.995608851,0.51086463,1,1,0,0,8703.486782
1556823215000,0,65.38576513,0.907860822,28.33488704,0.995598917,0.51086463,1,1,0,0,8703.486782
1556824215000,0,65.38576513,0.907860822,28.03215621,0.995589159,0.51086463,1,1,0,0,8703.486782
1556825215000,0,65.38576513,0.907860822,27.71610581,0.995579578,0.51086463,1,1,0,0,8703.486782
1556826215000,0,65.38576513,0.907860822,27.38822066,0.995570176,0.51086463,1,1,0,0,8703.486782
1556827215000,0,65.38576513,0.907860822,27.05014506,0.995560954,0.51086463,1,1,0,0,8703.486782
1556828215000,0,65.38576513,0.907860822,26.70362362,0.995551912,0.51086463,1,1,0,0,8703.486782
1556829215000,0,65.38576513,0.907860822,26.35046784,0.995543049,0.51086463,1,1,0,0,8703.486782
1556830215000,0,65.38576513,0.907860822,25.99253497,0.995534361,0.51086463,1,1,0,0,8703.486782
1556831215000,0,65.38576513,0.907860822,25.6317126,0.995525848,0.51086463,1,1,0,0,8703.486782
1556832215000,0,65.38576513,0.907860822,25.26990607,0.995517506,0.51086463,1,1,0,0,8703.486782
1556833215000,0,65.38576513,0.907860822,24.90902708,0.99550933,0.51086463,1,1,0,0,8703.486782
1556834215000,0,65.38576513,0.907860822,24.55098298,0.995501316,0.51086463,1,1,0,0,8703.486782
1556835215000,0,65.38576513,0.907860822,24.19766641,0.995493458,0.51086463,1,1,0,0,8703.486782
1556836215000,0,65.38576513,0.907860822,23.85094517,0.995485752,0.51086463,1,1,0,0,8703.486782
